Impedance values for 480 frequencies
Frequency(Hz)   Magnitude(ohm)    Phase(deg)  
768.389  10.879  21.429
779.550  11.141  21.073
790.874  11.298  20.738
802.362  11.469  19.916
814.017  11.291  18.579
825.841  11.177  19.255
837.837  11.154  19.251
850.007  11.022  19.680
862.354  11.060  20.842
874.880  11.203  20.982
887.588  11.371  20.635
900.481  11.384  20.083
913.561  11.078  20.197
926.831  11.002  21.370
940.294  11.051  22.367
953.953  11.286  24.102
967.810  11.668  24.074
981.868  11.870  22.602
996.130  11.841  22.138
1010.599  11.835  20.494
1025.279  11.343  20.469
1040.172  11.242  22.669
1055.281  11.424  24.429
1070.610  11.731  24.566
1086.161  11.925  24.231
1101.938  12.175  23.065
1117.945  11.824  20.942
1134.184  11.342  22.162
1150.659  11.357  24.137
1167.373  11.413  24.734
1184.330  11.347  26.113
1201.533  11.577  28.240
1218.986  12.283  29.139
1236.693  12.782  25.055
1254.656  11.914  23.278
1272.881  11.650  25.475
1291.370  11.701  27.028
1310.129  11.937  27.517
1329.159  11.902  26.857
1348.466  11.684  27.611
1368.053  11.655  29.239
1387.925  11.775  30.554
1408.086  11.959  31.468
1428.539  12.109  31.650
1449.290  12.148  32.363
1470.342  12.241  33.223
1491.700  12.400  34.082
1513.367  12.543  34.881
1535.350  12.749  35.636
1557.652  13.003  36.410
1580.278  13.313  37.101
1603.233  13.651  37.314
1626.521  14.004  37.432
1650.147  14.402  37.105
1674.117  14.762  36.927
1698.434  15.393  35.716
1723.105  15.523  32.674
1748.135  15.133  30.614
1773.527  14.513  30.404
1799.289  14.148  31.605
1825.425  14.170  34.181
1851.941  14.830  35.173
1878.841  15.230  33.149
1906.133  14.820  31.714
1933.821  14.435  32.957
1961.911  14.457  34.403
1990.409  14.621  35.424
2019.321  14.981  35.779
2048.653  14.796  35.573
2078.411  14.898  37.350
2108.602  15.343  38.296
2139.230  15.707  37.296
2170.304  15.511  37.829
2201.829  15.862  39.178
2233.812  16.358  39.492
2266.260  16.854  38.945
2299.179  17.076  37.949
2332.576  17.299  37.559
2366.458  17.422  36.361
2400.833  17.262  36.401
2435.707  17.600  36.409
2471.087  17.703  35.468
2506.981  17.600  34.886
2543.397  17.438  34.941
2580.342  17.548  35.751
2617.823  17.969  35.182
2655.848  17.672  33.847
2694.426  17.407  34.777
2733.565  17.569  35.282
2773.272  17.687  35.196
2813.555  17.704  35.149
